,metadata,ArticleID,index,last name,first name,AuthorName,clean name,confirmed name,Sex
15914,"Richardson, Gary",18242,,Richardson, Gary, Gary Richardson,Gary Richardson,Gary Richardson,Male
15915,"Richardson, Gary",23297,,Richardson, Gary, Gary Richardson,Gary Richardson,Gary Richardson,Male
15916,"Van Horn, Patrick",18242,,Van Horn, Patrick, Patrick Van Horn,,,
15917,"Kehoe, Patrick",18243,,Kehoe, Patrick, Patrick Kehoe,Patrick Kehoe,Patrick J. Kehoe,Male
15918,"Kehoe, Patrick",18243,,Kehoe, Patrick, Patrick Kehoe,Patrick Kehoe,Patrick Kehoe,Male
15919,"Midrigan, Virgiliu",18243,,Midrigan, Virgiliu, Virgiliu Midrigan,Virgiliu Midrigan,Virgiliu Midrigan,Male
15920,"Midrigan, Virgiliu",25811,,Midrigan, Virgiliu, Virgiliu Midrigan,Virgiliu Midrigan,Virgiliu Midrigan,Male
15921,"Pastorino, Elena",18243,,Pastorino, Elena, Elena Pastorino,Elena Pastorino,Elena Pastorino,Female
15922,"Pastorino, Elena",25607,,Pastorino, Elena, Elena Pastorino,Elena Pastorino,Elena Pastorino,Female
15923,"Pastorino, Elena",25811,,Pastorino, Elena, Elena Pastorino,Elena Pastorino,Elena Pastorino,Female
15924,"Gertler, Mark",18244,,Gertler, Mark, Mark Gertler,Mark Gertler,Mark Gertler,Male
15925,"Gertler, Mark",18244,,Gertler, Mark, Mark Gertler,Mark Gertler,Mark Gertler,Male
15926,"Gertler, Mark",25626,,Gertler, Mark, Mark Gertler,Mark Gertler,Mark Gertler,Male
15927,"Gertler, Mark",25626,,Gertler, Mark, Mark Gertler,Mark Gertler,Mark Gertler,Male
15928,"Kiyotaki, Nobuhiro",18244,,Kiyotaki, Nobuhiro, Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Male
15929,"Kiyotaki, Nobuhiro",18716,,Kiyotaki, Nobuhiro, Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Male
15930,"Kiyotaki, Nobuhiro",25626,,Kiyotaki, Nobuhiro, Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Male
15931,"Kiyotaki, Nobuhiro",25649,,Kiyotaki, Nobuhiro, Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Nobuhiro Kiyotaki,Male
15932,"Prestipino, Andrea",18244,,Prestipino, Andrea, Andrea Prestipino,Andrea Prestipino,Andrea Prestipino,Male
15933,"Prestipino, Andrea",25626,,Prestipino, Andrea, Andrea Prestipino,Andrea Prestipino,Andrea Prestipino,Male
15934,"Reinhart, Vincent",18245,,Reinhart, Vincent, Vincent Reinhart,,,
15935,"Trebesch, Christoph",18245,,Trebesch, Christoph, Christoph Trebesch,Christoph Trebesch,Christoph Trebesch,Male
15936,"Trebesch, Christoph",25584,,Trebesch, Christoph, Christoph Trebesch,Christoph Trebesch,Christoph Trebesch,Male
15937,"Diaz, Delavane",18246,,Diaz, Delavane, Delavane Diaz,Delavane Diaz,Delavane Diaz,Female
15938,"Keller, Klaus",18246,,Keller, Klaus, Klaus Keller,,,
15939,"Duca, John V.",18247,,Duca, John V., John V. Duca,,,
15940,"Duca, John V.",23772,,Duca, John V., John V. Duca,,,
15941,"Muellbauer, John",18247,,Muellbauer, John, John Muellbauer,John Muellbauer,John Muellbauer,Male
15942,"Muellbauer, John",18247,,Muellbauer, John, John Muellbauer,John Muellbauer,John Muellbauer,Male
15943,"Muellbauer, John",23772,,Muellbauer, John, John Muellbauer,John Muellbauer,John Muellbauer,Male
15944,"Muellbauer, John",23772,,Muellbauer, John, John Muellbauer,John Muellbauer,John Muellbauer,Male
15945,"Murphy, Anthony",18247,,Murphy, Anthony, Anthony Murphy,Anthony Murphy,Anthony Murphy,Male
15946,"Murphy, Anthony",23772,,Murphy, Anthony, Anthony Murphy,Anthony Murphy,Anthony Murphy,Male
15947,"Acolin, Arthur",18248,,Acolin, Arthur, Arthur Acolin,Arthur Acolin,Arthur Acolin,Male
15948,"Calem, Paul",18248,,Calem, Paul, Paul Calem,,,
15949,"Wachter, Susan",18248,,Wachter, Susan, Susan Wachter,,,
15950,"Malacrino, Davide",18249,,Malacrino, Davide, Davide Malacrino,Davide Malacrino,Davide Malacrino,Male
15951,"Malacrino, Davide",25604,,Malacrino, Davide, Davide Malacrino,Davide Malacrino,Davide Malacrino,Male
15952,"Hausman, Jerry A.",18250,,Hausman, Jerry A., Jerry A. Hausman,Jerry A. Hausman,Jerry A. Hausman,Male
15953,"Newey, Whitney K.",18250,,Newey, Whitney K., Whitney K. Newey,Whitney K. Newey,Whitney K. Newey,Male
15954,"Andrews, Isaiah",18251,,Andrews, Isaiah, Isaiah Andrews,Isaiah Andrews,Isaiah Andrews,Male
