11820,"Sufi, A",A Sufi,Amir Sufi,Male,,
2384,"Sutherland, A",A Sutherland,Alan Sutherland,Male,,
11559,"Sweezy, A",A Sweezy,?,?,,
11788,"Szeidl, A",A Szeidl,Adam Szeidl,Male,,
1997,"Takayama, A",A Takayama,Akira Takayama,Male,,
1598,"Timmermann, A",A Timmermann,Allan G. Timmermann,Male,,
5314,"Tornell, A",A Tornell,Aarón Tornell,Male,,
9869,"Ulph, A",A Ulph,Alistair Ulph,Male,,
1792,"Valdes, A",A Valdes,Alberto Valdes,Male,,
13757,"Van Soest, A",A Van Soest,Arthur van Soest,Male,,
13971,"Vanags, A",A Vanags,Alfred Vanags,Male,,
10134,"Vejsiu, A",A Vejsiu,?,?,,
11986,"Velasco, A",A Velasco,Andr?s Velasco,Male,,
8904,"Verschoor, A",A Verschoor,Arjan Verschoor,Male,,
9872,"Vignoles, A",A Vignoles,Anna Vignoles,Female,,
13692,"Vissing-Jorgensen, A",A Vissing-Jorgensen,Annette Vissing-Jorgensen,Female,,
3265,"Vredin, A",A Vredin,Anders Vredi,Male,,
14314,"Wakar, A",A Wakar,?,?,,
4043,"Weiss, A",A Weiss,Andrew Weiss,Male,,
13988,"Whinston, A",A Whinston,Andrew Whinston,Male,,
13517,"Wolf, A",A Wolf,?,?,,
4880,"Wolinsky, A",A Wolinsky,Asher Wolinsky,Male,,
14252,"Wolverton, A",A Wolverton,Ann Wolverton,Female,,
4397,"Wood, A",A Wood,?,?,,
13912,"Woodfield, A",A Woodfield,Alan Woodfield,Male,,
3438,"Yarmolinsky, A",A Yarmolinsky,?,?,,
14123,"Yaron, A",A Yaron,Amir Yaron,Male,,
10122,"Yatchew, A",A Yatchew,Adonis Yatchew,Male,,
11880,"Young, A",A Young,Alwyn Young,Male,,
4083,"Zabalza, A",A Zabalza,Antoni Zabalza,Male,,
11941,"Zazzaro, A",A Zazzaro,Alberto Zazzaro,Male,,
5981,"Zelenitz, A",A Zelenitz,Allan Zelenitz,Male,,
1413,"Zellner, A",A Zellner,Arnold Zellner,Male,,
5435,"Ziderman, A",A Ziderman,Adrian Ziderman,Male,,
11512,"Zucker, A",A Zucker,?,?,,
7803,"Schmid, A. Allan",A. Allan Schmid,A. Allan Schmid,Male,,
8097,"Ayzenshtadt, A.",A. Ayzenshtadt,?,?,,
7852,"Atkinson, A. B.",A. B. Atkinson,Anthony B. Atkinson,Male,,
5231,"Wolfe, A. B.",A. B. Wolfe,?,?,,
5526,"Beacham, A.",A. Beacham,?,?,,
7135,"Belloni, A.",A. Belloni,A. Belloni,Male,,
8352,"Hobson, A. C.",A. C. Hobson,?,?,,
7758,"Johnson, A. C., Jr.",A. C. Johnson,?,?,,
9105,"Day, A. C. L.",A. C. L. Day,?,?,,
5087,"Pigou, A. C.",A. C. Pigou,Arthur Cecil Pigou,Male,,
7973,"Taymans, A. C.",A. C. Taymans,?,?,,
11033,"Cassar, A.",A. Cassar,Alessandra Cassar,Female,,
8293,"Charnes, A.",A. Charnes,Abraham Charnes,Male,,
10810,"Chudik, A.",A. Chudik,Alexander Chudik,Male,,
387,"Campbell, A. D.",A. D. Campbell,Arthur Campbell,Male,,
8016,"Kaplan, A. D. H.",A. D. H. Kaplan,?,?,,
5716,"Owen, A. D. K.",A. D. K. Owen,?,?,,
7849,"Roy, A. D.",A. D. Roy,?,?,,
9272,"Scott, A. D.",A. D. Scott,Anthony D. Scott,Male,,
8247,"Redding, A. David",A. David Redding,?,?,,
8257,"Dvoretzky, A.",A. Dvoretzky,?,?,,
390,"Irvine, A. G.",A. G. Irvine,?,?,,
7962,"Papandreou, A. G.",A. G. Papandreou,Andreas Georgios Papandreou,Male,,
7825,"Henderson, A.",A. Henderson,?,?,,
5107,"Nichol, A. J.",A. J. Nichol,?,?,,
9429,"Wickens, A. J.",A. J. Wickens,?,?,,
8309,"Cairncross, A. K.",A. K. Cairncross,?,?,,
6436,"Cosar, A. Kerem",A. Kerem Cosar,?,?,,
9225,"Kervyn, A.",A. Kervyn,?,?,,
5200,"Bowley, A. L.",A. L. Bowley,?,?,,
9271,"Macfie, A. L.",A. L. Macfie,?,?,,
301,"Wright, A. Ll.",A. Ll. Wright,?,?,,
9244,"Wright, A. Llewellyn",A. Llewellyn Wright,?,?,,
9188,"De Neuman, A. M.",A. M. De Neuman,?,?,,
5269,"Henderson, A. M.",A. M. Henderson,?,?,,
8366,"Milne, A. M.",A. M. Milne,?,?,,
306,"Maddison, A.",A. Maddison,?,?,,
10481,"Monfort, A.",A. Monfort,?,?,,
12759,"Mobarak, A. Mushfiq",A. Mushfiq Mobarak,?,?,,
7787,"Freeman, A. Myrick, Iii",A. Myrick Freeman,?,?,,
9447,"Agarwala, A. N.",A. N. Agarwala,?,?,,
10928,"Ortmann, A.",A. Ortmann,?,?,,
7816,"Lerner, A. P.",A. P. Lerner,?,?,,
8272,"Zentler, A. P.",A. P. Zentler,?,?,,
377,"Bergstrom, A. R.",A. R. Bergstrom,?,?,,
8217,"Prest, A. R.",A. R. Prest,?,?,,
5208,"Sweezy, A. R.",A. R. Sweezy,?,?,,
5017,"Green, A. Romney",A. Romney Green,?,?,,
7853,"Sandmo, A.",A. Sandmo,?,?,,
5662,"Shenfield, A.",A. Shenfield,?,?,,
4977,"Smithies, A.",A. Smithies,?,?,,
9273,"Peacock, A. T.",A. T. Peacock,?,?,,
8432,"Tustin, A.",A. Tustin,?,?,,
9360,"De Ridder, A. V.",A. V. De Ridder,?,?,,
9152,"Coats, A. W.",A. W. Coats,?,?,,
9496,"Menzies-Kitchin, A. W.",A. W. Menzies-Kitchin,?,?,,
9187,"Phillips, A. W.",A. W. Phillips,?,?,,
5755,"Ellis, A. W. T.",A. W. T. Ellis,?,?,,
5265,"Wald, A.",A. Wald,?,?,,
9359,"Zauberman, A.",A. Zauberman,?,?,,
13916,"Acquier, Aa",Aa Acquier,?,?,,
208,"Adams, Aa",Aa Adams,Abi Adams,Female,,
3432,"Alchian, Aa",Aa Alchian,Armen Alchian,Male,,
5849,"Berle, Aa",Aa Berle,?,?,,
14522,"Brewer, Aa",Aa Brewer,?,?,,
14553,"Brown, Aa",Aa Brown,?,?,,
6709,"Carruth, Aa",Aa Carruth,?,?,,
13927,"Eubank, Aa",Aa Eubank,?,?,,
4597,"Haug, Aa",Aa Haug,?,?,,
11516,"Heggestad, Aa",Aa Heggestad,?,?,,
10101,"Hung, Aa",Aa Hung,?,?,,
4082,"Sampson, Aa",Aa Sampson,A. A. Sampson,Male,,
9021,"Samwick, Aa",Aa Samwick,Andrew A. Samwick,Male,,
13762,"Smith, Aa",Aa Smith,?,?,,
13481,"Summers, Aa",Aa Summers,?,?,,
14550,"Townsend, Aa",Aa Townsend,?,?,,
2791,"Walters, Aa",Aa Walters,Alan Arthur Walters,Male,,
7711,"Weinstein, Aa",Aa Weinstein,?,?,,
6496,"Mattoo, Aaditya",Aaditya Mattoo,Aaditya Mattoo,Male,,
7166,"Mohpal, Aakash",Aakash Mohpal,Aakash Mohpal,Male,,
6295,"Chalfin, Aaron",Aaron Chalfin,Aaron Chalfin,Male,,
5296,"Director, Aaron",Aaron Director,Aaron Director,Male,,
12137,"Hedlund, Aaron",Aaron Hedlund,Aaron Hedlund,Male,,
13282,"Chatterji, Aaron K.",Aaron K. Chatterji,?,?,,
4763,"Sojourner, Aaron",Aaron Sojourner,Aaron Sojourner,Male,,
6192,"Swoboda, Aaron",Aaron Swoboda,Aaron Swoboda,Male,,
3981,"Abel, Ab",Ab Abel,?,?,,
12124,"Araoz, Ab",Ab Araoz,?,?,,
2150,"Atkinson, Ab",Ab Atkinson,Anthony B. Atkinson,Male,,
14299,"Batchelder, Ab",Ab Batchelder,?,?,,
9956,"Bernard, Ab",Ab Bernard,Andrew B. Bernard,Male,,
3462,"Cramp, Ab",Ab Cramp,?,?,,
14245,"Jaffe, Ab",Ab Jaffe,Adam B. Jaffe,Male,,
1730,"Krueger, Ab",Ab Krueger,?,?,,
2783,"Treadway, Ab",Ab Treadway,?,?,,
2661,"Whinston, Ab",Ab Whinston,Andrew Whinston,Male,,
5575,"Lerner, Abba P.",Abba P. Lerner,Abba P. Lerner,Male,,
9328,"Usher, Abbott Payson",Abbott Payson Usher,?,?,,
3054,"El Lahga, Abdel-Rahmen",Abdel-Rahmen El Lahga,Abdel-Rahmen El Lahga,Male,,
11012,"Rouabah, Abdelaziz",Abdelaziz Rouabah,Abdelaziz Rouabah,Male,,
14756,"Sadrieh, Abdolkarim",Abdolkarim Sadrieh,Abdolkarim Sadrieh,Male,,
12812,"Shifa, Abdulaziz B.",Abdulaziz B. Shifa,Abdulaziz B. Shifa,Male,,
6777,"Shimeles, Abebe",Abebe Shimeles,Abebe Shimeles,Male,,
1109,"Gelan, Abera",Abera Gelan,Abera Gelan,Male,,
10275,"Singh, Abhijeet",Abhijeet Singh,Abhijeet Singh,Male,,
6379,"Banerjee, Abhijit",Abhijit Banerjee,Abhijit Banerjee,Male,,
793,"Banerjee, Abhijit V.",Abhijit V. Banerjee,Abhijit Banerjee,Male,,
12344,"Narayanan, Abhinav",Abhinav Narayanan,Abhinav Narayanan,Male,,
10970,"Muthoo, Abhinay",Abhinay Muthoo,Abhinay Muthoo,Male,,
10538,"Mukhopadhyay, Abhiroop",Abhiroop Mukhopadhyay,Abhiroop Mukhopadhyay,Male,,
7191,"Adams, Abi",Abi Adams,Abi Adams,Female,,
8300,"Wald, Abraham",Abraham Wald,Abraham Wald,Male,,
4978,"Bergson, Abram",Abram Bergson,Abram Bergson,Male,,
5761,"Harris, Abram L.",Abram L. Harris,Abram L. Harris,Male,,
